Date_Heure,y_true,randomforest,lgbm,elasticnet,moe
2025-11-23 00:00:00,2174.19,1775.8415573997083,2112.718639856101,3122.131030869666,2142.188323561978
2025-11-23 01:00:00,2171.31,1779.5955909351742,2145.224869573018,3137.2132019760884,2166.8570593356258
2025-11-23 02:00:00,2172.17,1764.70563761243,2099.7706662376136,3112.4278971441845,2129.948862889177
2025-11-23 03:00:00,2175.08,1747.449617968327,2081.2520672207474,2993.434987815165,2101.655324732553
2025-11-23 04:00:00,2172.28,1741.429559350148,2190.8321699992484,2985.842597030032,2175.014715086155
2025-11-23 05:00:00,2172.06,1744.3819763434876,2169.5143841639247,2854.740382599992,2147.8694044118342
2025-11-23 06:00:00,2176.97,1742.2953200485467,2158.775480964604,2808.86914865951,2135.453361792845
2025-11-23 07:00:00,2178.34,1740.5664609491243,2160.8225167683227,2818.0040031430744,2137.408290924833
2025-11-23 08:00:00,2175.95,1748.665196922781,2170.229937860397,2974.9502489228626,2161.285076647474
2025-11-23 09:00:00,2170.76,1731.1901224040969,2171.0907889141604,3154.2078322753546,2176.0895624657765
2025-11-23 10:00:00,2177.7,1740.6538194832017,2157.353870437281,2974.1687473338134,2150.649278791861
2025-11-23 11:00:00,2176.06,1727.1012521993378,2171.185257637773,3469.956246449045,2206.8473958379564
2025-11-23 12:00:00,2172.43,1730.753506880451,2170.0241729126137,3383.928675971089,2198.2242254185785
2025-11-23 13:00:00,2175.39,1751.8388095690625,2089.691348935833,3075.374162705812,2116.5823974250725
2025-11-23 14:00:00,2173.42,1722.7949950716798,1992.4511412797904,2834.0322903827782,2019.3976311583078
2025-11-23 15:00:00,1974.11,1553.3481609338278,1815.696562159564,1924.8455091299504,1770.9842171980397
2025-11-23 16:00:00,2118.45,1582.7950488520628,1855.2146299765836,2076.787421576072,1819.6040431721979
2025-11-23 17:00:00,2142.51,1601.736481457319,1851.5406782175464,1756.627140392242,1789.091413988368
2025-11-23 18:00:00,2100.49,1603.8925265123223,1865.922011983355,1745.1854596247094,1798.2997262525978
2025-11-23 19:00:00,2043.53,1604.6962715250415,1933.7846477714584,1747.259698499398,1845.3691207431666
2025-11-23 20:00:00,2067.76,1572.7900877358998,1850.8642899110648,1663.1757341965,1773.1482714562546
2025-11-23 21:00:00,2004.69,1453.0403721021153,1741.3792128011364,1484.5310382978696,1654.5742738541528
2025-11-23 22:00:00,1710.6,1424.4281611829178,1679.0210703171049,1436.9506451634256,1600.8478720045132
2025-11-23 23:00:00,1468.92,1363.7397798007523,1585.527058854368,1258.2628883042555,1505.793873885212
