Date_Heure,y_true,randomforest,lgbm,elasticnet
2025-02-04 08:00:00,1711.92,1427.5309962163844,1579.0316194184027,1114.790410618303
2025-02-04 09:00:00,1644.14,1426.0415101282613,1449.6463009236088,1088.787479156968
2025-02-04 10:00:00,1542.14,1264.5688978062842,1254.0852007604508,983.2258531148077
2025-02-04 11:00:00,1631.53,1234.2652206726157,1242.4561953699217,996.4668084003895
2025-02-04 12:00:00,1583.82,1288.7413721060411,1465.285302467177,1015.4333395435664
2025-02-04 13:00:00,1665.79,1347.7771212294506,1551.7539086839015,1137.3852857916797
2025-02-04 14:00:00,1847.24,1455.9727492116033,1691.5997406402078,1225.2234405238096
2025-02-04 15:00:00,1935.56,1473.019496566818,1726.2534466878392,1205.1457486714182
2025-02-04 16:00:00,1961.42,1499.395166588607,1780.4874256174191,1279.2842246184625
2025-02-04 17:00:00,1938.02,1487.0241971898447,1969.5163948075947,1563.8561894557397
2025-02-04 18:00:00,1992.09,1574.0365305755186,2007.9206704472467,1839.2676166646309
2025-02-04 19:00:00,2031.83,1626.8814081934966,2040.7868854819135,1942.2676062492817
2025-02-04 20:00:00,1955.2,1640.976648872223,2100.0303307062914,1971.9692739780894
2025-02-04 21:00:00,1814.54,1652.7408461352243,2057.9037194645007,1948.0330283407843
2025-02-04 22:00:00,1797.71,1561.2011438371987,1456.4219738201018,1562.962384404631
2025-02-04 23:00:00,1651.79,1464.0851716940574,1572.1272515199844,1412.2277586600112
2025-02-05 00:00:00,1221.29,1266.2072690839375,1200.8854125722592,1012.1810957697655
2025-02-05 01:00:00,919.46,899.2108243010169,770.0524269034008,755.2422395188937
2025-02-05 02:00:00,532.3,594.1366547868021,573.3079825675518,560.929248234873
2025-02-05 03:00:00,409.29,522.2101241092782,457.3476689453857,513.292324991702
2025-02-05 04:00:00,397.34,495.05508251610405,394.2609711864852,472.2031714267016
2025-02-05 05:00:00,279.15,404.6433129580178,309.67876130589974,382.62099924119934
2025-02-05 06:00:00,284.43,348.4626670683272,303.81807111536665,343.47925968942786
2025-02-05 07:00:00,246.06,282.22365265944177,238.47470138460818,290.82423831008697
2025-02-05 08:00:00,159.77,229.34949552743996,207.6151118175676,248.28340424353345
2025-02-05 09:00:00,100.37,185.77637194183785,182.32943425866648,209.88281568592961
2025-02-05 10:00:00,90.21,90.92789214641427,104.65101407128265,137.89032391915944
2025-02-05 11:00:00,62.86,67.26590961409211,77.2665719973121,104.0936314064641
2025-02-05 12:00:00,56.01,44.78805590419065,43.26465098583347,74.42045247500843
2025-02-05 13:00:00,15.16,29.325623615373267,38.34337727747915,63.9695994168715
2025-02-05 14:00:00,9.03,15.51809328244046,15.641261683285506,50.52625729813032
2025-02-05 15:00:00,24.07,13.706084566165934,13.5077236858963,44.31018475877539
2025-02-05 16:00:00,1.8,10.527075923404876,13.702455210489429,35.191082051209804
2025-02-05 17:00:00,0.0,6.8513622138083505,2.585245201105691,22.40925905569621
2025-02-05 18:00:00,0.0,6.195984157568613,0.4467368560111097,9.662215548458658
2025-02-05 19:00:00,0.0,3.273951272724848,-0.0938916629457445,5.305426595911566
2025-02-05 20:00:00,0.0,2.8254724594203924,-0.16492855650613836,8.638563253740214
2025-02-05 21:00:00,0.0,4.836190707357947,0.04425387239249304,7.444367726114299
2025-02-05 22:00:00,0.04,11.91207217102951,3.9901755565858665,11.817738423691159
2025-02-05 23:00:00,0.86,25.669254571465288,17.92069571173871,21.75218721294008
2025-02-06 00:00:00,39.77,35.016138123753706,33.56181255681755,35.621688430540516
2025-02-06 01:00:00,210.22,44.264319432587726,36.00519434011694,44.46779006070476
2025-02-06 02:00:00,214.52,58.15461366416696,49.73271794513431,51.44436185306342
2025-02-06 03:00:00,340.17,58.46939530482451,43.107857895853265,50.59657784680519
2025-02-06 04:00:00,417.43,64.47998663786292,75.12543862336308,54.57316803344198
2025-02-06 05:00:00,482.73,76.60871870361768,92.38232327616217,60.726386342291455
2025-02-06 06:00:00,395.79,115.56277536462296,159.69823797391578,83.98544610734797
2025-02-06 07:00:00,465.32,195.9846252341319,249.28155777411865,122.63887431859034
2025-02-06 08:00:00,405.47,299.2286475903872,511.17488766411117,177.05615364481108
2025-02-06 09:00:00,399.92,411.2553816745204,572.3738146370083,239.20733463444293
2025-02-06 10:00:00,659.63,523.2523112586485,779.9267414589644,288.5048354876172
2025-02-06 11:00:00,905.97,582.9153994013391,790.4270691750838,345.7542533983642
2025-02-06 12:00:00,589.49,658.4705639898314,904.0317718353613,410.89600735024
2025-02-06 13:00:00,531.91,688.2203688853731,786.3709970982928,430.83366426984026
2025-02-06 14:00:00,536.68,672.5281171451885,741.1089275950557,384.80847410389055
2025-02-06 15:00:00,600.07,700.0501843659117,655.2662555219306,456.52875793844964
2025-02-06 16:00:00,947.45,913.231537388825,692.4271703022871,633.4768808540498
2025-02-06 17:00:00,1238.38,1139.2376520617909,1004.616380069252,835.2684674460661
2025-02-06 18:00:00,1653.4,1241.4542584362716,1533.073405546302,959.8403856406535
2025-02-06 19:00:00,1925.19,1363.8536957072788,1641.6928484826342,1088.2176354176363
2025-02-06 20:00:00,1951.46,1425.6594295469263,1705.102194434726,1214.906388423438
2025-02-06 21:00:00,1961.49,1516.2708908829504,1683.6232782233026,1487.8627886410952
2025-02-06 22:00:00,1840.07,1545.5407073397982,1840.2494095605064,1987.1465831348603
2025-02-06 23:00:00,1801.78,1579.819073571121,1885.3318000546076,1674.1740020434295
2025-02-07 00:00:00,1769.33,1558.3767258443513,1957.0688930244373,1462.0892437634461
