,MAE,RMSE,MAPE (%),R2
ridge,207.9638127696864,323.6030014179237,inf,0.8073689382663659
lgbm,185.970696224323,308.29184118462877,inf,0.8251662393859167
elasticnet,207.40061951779586,324.2843506541371,inf,0.8065569111884185
