Date_Heure,y_true,ridge,lgbm,elasticnet
2025-11-18 20:00:00,1340.16,1536.0006653817009,1458.5112848898402,1512.0543811519267
2025-11-18 21:00:00,1049.36,1244.5135848086284,1093.5290786981325,1237.6140229116
2025-11-18 22:00:00,834.63,972.0974771031249,842.6027827244401,971.9903424210784
2025-11-18 23:00:00,1268.41,806.1998111835653,720.9380784140651,799.068464481513
2025-11-19 00:00:00,1184.98,1240.9744985172665,1115.3473171886358,1237.6981829504957
2025-11-19 01:00:00,1308.22,1251.8589796677734,1257.7775115581992,1243.2862254543943
2025-11-19 02:00:00,1076.59,1325.5896293522105,1236.5577684079503,1287.3302738353095
2025-11-19 03:00:00,975.25,1043.8962793909573,980.7343262792389,1017.4987726955414
2025-11-19 04:00:00,1207.77,916.4649452921053,846.9090630014866,898.1201270619702
2025-11-19 05:00:00,728.86,1095.3441269384716,815.7879387435545,1088.7632713145897
2025-11-19 06:00:00,653.66,639.818269554062,545.7688867123201,635.1164041286063
2025-11-19 07:00:00,486.56,558.9197525175832,484.58987274688167,557.1220578301106
2025-11-19 08:00:00,252.65,374.58139578568375,377.0490812941992,375.6616740317238
2025-11-19 09:00:00,146.82,219.61614513997637,222.1923162393824,243.3073095125714
2025-11-19 10:00:00,6.17,175.6856642969899,131.12993371121485,179.44029982914424
2025-11-19 11:00:00,39.14,-17.477800073037656,15.158787019696742,-45.25202366462713
2025-11-19 12:00:00,1424.96,80.14334298687288,61.354689771246946,85.77278029536558
2025-11-19 13:00:00,2154.5,1655.5636381800934,1585.5943994685647,1656.5402933286741
2025-11-19 14:00:00,2150.29,2369.4289097979313,2332.7691076307524,2310.3803682317152
2025-11-19 15:00:00,2147.11,2281.490846322713,2225.5505384580997,2220.59468032927
2025-11-19 16:00:00,2162.9,2141.3512703299166,2147.917874632743,2096.6557938507876
2025-11-19 17:00:00,2159.51,2029.4105263755641,2099.8439802440002,2017.8837567504393
2025-11-19 18:00:00,2140.54,2038.7274760331384,2107.8519131250505,2051.3327427526788
2025-11-19 19:00:00,2058.7,2082.688976070678,2110.5290091425672,2087.634474090457
2025-11-19 20:00:00,1980.87,2020.468875835215,2058.5337952893224,2010.4633559463996
2025-11-19 21:00:00,1839.91,1924.2883681835217,1993.206140129231,1911.1621354654872
2025-11-19 22:00:00,2057.78,1703.4754712155027,1740.6299986688416,1685.2783103398524
2025-11-19 23:00:00,1671.65,1833.5554089776929,1890.37092240982,1832.7059508168334
2025-11-20 00:00:00,899.17,1482.004609440396,1287.2380965988693,1497.1819767215811
2025-11-20 01:00:00,504.19,784.8619247975489,758.5736892888226,782.2957772652388
2025-11-20 02:00:00,688.78,442.4770441726401,395.73841753040364,444.775163951285
2025-11-20 03:00:00,984.5,682.8346349586764,656.4268236218121,685.1020645631733
2025-11-20 04:00:00,766.47,1010.2008840100364,945.9661054719783,983.1506832162777
2025-11-20 05:00:00,1731.4,828.5854029720431,851.5871955976519,799.8461487868724
2025-11-20 06:00:00,1160.78,1705.6316245647577,1638.2353593915927,1683.4098609520074
2025-11-20 07:00:00,1513.66,1194.1243723844646,1214.3832544424454,1163.7704062694215
2025-11-20 08:00:00,1848.79,1524.0103851733138,1559.4653489104414,1500.5565601481999
2025-11-20 09:00:00,1220.4,1804.6341064151957,1758.7747162707406,1781.6518004386276
2025-11-20 10:00:00,1087.2,1177.236353195771,1140.106615627894,1154.9498695901125
2025-11-20 11:00:00,933.7,1051.3629776005134,1035.3673703703153,1041.607310269469
2025-11-20 12:00:00,948.52,905.9293485431148,819.7931542287288,852.7850181473998
2025-11-20 13:00:00,627.32,946.9241686918218,798.9020848730028,917.5774430691539
2025-11-20 14:00:00,653.4,712.4505338373579,724.6062928163705,683.0585954382293
2025-11-20 15:00:00,1078.38,732.0902319171665,694.9809625727099,691.0196355045465
2025-11-20 16:00:00,1564.72,1090.9459335299025,1034.053007209132,1059.6256061716308
2025-11-20 17:00:00,1187.9,1505.6465012456329,1349.1155091544365,1479.9804046746908
2025-11-20 18:00:00,1164.8,1155.4614239722432,1016.6045794854655,1130.17506142198
2025-11-20 19:00:00,746.23,1103.0077626224554,930.3827222104418,1080.467034099755
2025-11-20 20:00:00,656.59,725.6832411512487,634.0998468675784,711.6080688937814
2025-11-20 21:00:00,1552.95,635.246328782073,567.2157284894294,616.5993577282223
2025-11-20 22:00:00,215.66,1336.0342269659557,1119.216014798731,1313.6170825904937
2025-11-20 23:00:00,187.47,165.2881183640178,187.15295410780314,175.99857361089676
2025-11-21 00:00:00,463.69,138.3110599896546,177.11295462145617,137.40852751917782
2025-11-21 01:00:00,255.0,432.4544948017017,411.67631181118173,450.10454883154773
2025-11-21 02:00:00,277.94,279.38933284748305,236.6472267999594,263.3677584086432
2025-11-21 03:00:00,179.39,305.62551981200295,244.76166166730422,283.25847587657404
2025-11-21 04:00:00,1367.39,254.54799155819427,218.08387795955935,242.8749661662647
2025-11-21 05:00:00,1153.46,1373.6864309348011,1171.2522903635515,1341.5296185092993
2025-11-21 06:00:00,907.17,1153.444848959714,1126.3049352379298,1133.5324315539763
2025-11-21 07:00:00,795.55,872.8546731772087,789.0255176218935,840.7783790118443
2025-11-21 08:00:00,517.96,728.0424044960257,636.2243605420671,709.4169739651686
2025-11-21 09:00:00,536.44,467.1830553287225,432.3927237734297,475.9222349403028
2025-11-21 10:00:00,339.0,464.5827222857244,427.7680120885092,465.87199336666475
2025-11-21 11:00:00,140.6,299.41976220577504,264.7850968236917,312.70433873820224
2025-11-21 12:00:00,10.28,115.728552513046,125.34209051778959,111.73287249359737
