,MAE,RMSE,MAPE (%),R2
ridge,275.67682808185356,349.758985209276,inf,0.8076228896296943
lgbm,170.06160409780705,240.8832026244487,inf,0.9087508831365515
elasticnet,109.24823290092647,175.04044851406098,inf,0.9518171514670886
